time,location,latitude,longitude,value,param,unit
2022-01-05 11:00:00,Box Hill,-37.8287277,145.1324,1.794,PM2.5,ug/m3
2022-01-05 11:00:00,Melbourne CBD,-37.8073959,144.97,-1.075,PM2.5,ug/m3
2022-01-05 11:00:00,Footscray,-37.803709,144.86934,3.559,PM2.5,ug/m3
2022-01-05 11:00:00,Alphington,-37.7784081,145.0306,2.945,PM2.5,ug/m3
2022-01-05 11:00:00,Newborough,-38.18772,146.2927,5.333,PM2.5,ug/m3
2022-01-05 11:00:00,Melton,-37.7064552,144.5669,8.758,PM2.5,ug/m3
2022-01-05 11:00:00,Morwell South,-38.2392921,146.3873,2.499,PM2.5,ug/m3
2022-01-05 11:00:00,Churchill,-38.3043137,146.41493,2.056,PM2.5,ug/m3
2022-01-05 11:00:00,Brighton,-37.9135475,144.998,3.046,PM2.5,ug/m3
2022-01-05 11:00:00,Traralgon,-38.1942825,146.53146,2.944,PM2.5,ug/m3
2022-01-05 12:00:00,Morwell East,-38.229393,146.42445,2.55,PM2.5,ug/m3
2022-01-05 12:00:00,Geelong South,-38.17356,144.3703,4.37,PM2.5,ug/m3
2022-01-05 12:00:00,Campbellfield,-37.679276,144.96572,21.261,PM2.5,ug/m3
2022-01-05 12:00:00,Box Hill,-37.8287277,145.1324,3.791,PM2.5,ug/m3
2022-01-05 12:00:00,Melbourne CBD,-37.8073959,144.97,5.552,PM2.5,ug/m3
2022-01-05 12:00:00,Footscray,-37.803709,144.86934,-3.039,PM2.5,ug/m3
2022-01-05 12:00:00,Alphington,-37.7784081,145.0306,2.779,PM2.5,ug/m3
2022-01-05 12:00:00,Newborough,-38.18772,146.2927,3.283,PM2.5,ug/m3
2022-01-05 12:00:00,Melton,-37.7064552,144.5669,4.232,PM2.5,ug/m3
2022-01-05 12:00:00,Morwell South,-38.2392921,146.3873,4.44,PM2.5,ug/m3
2022-01-05 12:00:00,Churchill,-38.3043137,146.41493,2.537,PM2.5,ug/m3
2022-01-05 12:00:00,Brighton,-37.9135475,144.998,-0.181,PM2.5,ug/m3
2022-01-05 12:00:00,Traralgon,-38.1942825,146.53146,5.407,PM2.5,ug/m3
2022-01-05 13:00:00,Morwell East,-38.229393,146.42445,1.153,PM2.5,ug/m3
2022-01-05 13:00:00,Geelong South,-38.17356,144.3703,4.116,PM2.5,ug/m3
2022-01-05 13:00:00,Campbellfield,-37.679276,144.96572,-3.235,PM2.5,ug/m3
2022-01-05 13:00:00,Box Hill,-37.8287277,145.1324,5.289,PM2.5,ug/m3
2022-01-05 13:00:00,Melbourne CBD,-37.8073959,144.97,2.936,PM2.5,ug/m3
2022-01-05 13:00:00,Footscray,-37.803709,144.86934,5.424,PM2.5,ug/m3
2022-01-05 13:00:00,Alphington,-37.7784081,145.0306,2.344,PM2.5,ug/m3
2022-01-05 13:00:00,Newborough,-38.18772,146.2927,4.45,PM2.5,ug/m3
2022-01-05 13:00:00,Melton,-37.7064552,144.5669,9.946,PM2.5,ug/m3
2022-01-05 13:00:00,Morwell South,-38.2392921,146.3873,4.681,PM2.5,ug/m3
2022-01-05 13:00:00,Churchill,-38.3043137,146.41493,2.228,PM2.5,ug/m3
2022-01-05 13:00:00,Brighton,-37.9135475,144.998,6.953,PM2.5,ug/m3
2022-01-05 13:00:00,Traralgon,-38.1942825,146.53146,5.08,PM2.5,ug/m3
2022-01-05 14:00:00,Morwell East,-38.229393,146.42445,3.606,PM2.5,ug/m3
2022-01-05 14:00:00,Geelong South,-38.17356,144.3703,4.151,PM2.5,ug/m3
2022-01-05 14:00:00,Campbellfield,-37.679276,144.96572,8.586,PM2.5,ug/m3
2022-01-05 14:00:00,Box Hill,-37.8287277,145.1324,0.577,PM2.5,ug/m3
2022-01-05 14:00:00,Melbourne CBD,-37.8073959,144.97,6.37,PM2.5,ug/m3
2022-01-05 14:00:00,Footscray,-37.803709,144.86934,7.103,PM2.5,ug/m3
2022-01-05 14:00:00,Alphington,-37.7784081,145.0306,3.349,PM2.5,ug/m3
2022-01-05 14:00:00,Newborough,-38.18772,146.2927,10.817,PM2.5,ug/m3
2022-01-05 14:00:00,Melton,-37.7064552,144.5669,7.152,PM2.5,ug/m3
2022-01-05 14:00:00,Morwell South,-38.2392921,146.3873,6.589,PM2.5,ug/m3
2022-01-05 14:00:00,Churchill,-38.3043137,146.41493,4.69,PM2.5,ug/m3
2022-01-05 14:00:00,Brighton,-37.9135475,144.998,5.441,PM2.5,ug/m3
2022-01-05 14:00:00,Traralgon,-38.1942825,146.53146,5.043,PM2.5,ug/m3
2022-01-05 15:00:00,Morwell East,-38.229393,146.42445,5.147,PM2.5,ug/m3
2022-01-05 15:00:00,Geelong South,-38.17356,144.3703,4.127,PM2.5,ug/m3
2022-01-05 15:00:00,Campbellfield,-37.679276,144.96572,5.967,PM2.5,ug/m3
2022-01-05 15:00:00,Box Hill,-37.8287277,145.1324,2.075,PM2.5,ug/m3
2022-01-05 15:00:00,Melbourne CBD,-37.8073959,144.97,5.102,PM2.5,ug/m3
2022-01-05 15:00:00,Footscray,-37.803709,144.86934,2.011,PM2.5,ug/m3
2022-01-05 15:00:00,Alphington,-37.7784081,145.0306,6.229,PM2.5,ug/m3
2022-01-05 15:00:00,Newborough,-38.18772,146.2927,-0.25,PM2.5,ug/m3
2022-01-05 15:00:00,Melton,-37.7064552,144.5669,12.434,PM2.5,ug/m3
2022-01-05 15:00:00,Morwell South,-38.2392921,146.3873,5.987,PM2.5,ug/m3
2022-01-05 15:00:00,Churchill,-38.3043137,146.41493,5.635,PM2.5,ug/m3
2022-01-05 15:00:00,Brighton,-37.9135475,144.998,4.697,PM2.5,ug/m3
2022-01-05 15:00:00,Traralgon,-38.1942825,146.53146,3.99,PM2.5,ug/m3
2022-01-05 16:00:00,Morwell East,-38.229393,146.42445,7.342,PM2.5,ug/m3
2022-01-05 16:00:00,Geelong South,-38.17356,144.3703,5.692,PM2.5,ug/m3
2022-01-05 16:00:00,Campbellfield,-37.679276,144.96572,11.336,PM2.5,ug/m3
2022-01-05 16:00:00,Box Hill,-37.8287277,145.1324,6.706,PM2.5,ug/m3
2022-01-05 16:00:00,Melbourne CBD,-37.8073959,144.97,4.659,PM2.5,ug/m3
2022-01-05 16:00:00,Footscray,-37.803709,144.86934,8.601,PM2.5,ug/m3
2022-01-05 16:00:00,Alphington,-37.7784081,145.0306,8.773,PM2.5,ug/m3
2022-01-05 16:00:00,Newborough,-38.18772,146.2927,1.3,PM2.5,ug/m3
2022-01-05 16:00:00,Melton,-37.7064552,144.5669,-1.937,PM2.5,ug/m3
2022-01-05 16:00:00,Morwell South,-38.2392921,146.3873,5.704,PM2.5,ug/m3
2022-01-05 16:00:00,Churchill,-38.3043137,146.41493,5.887,PM2.5,ug/m3
2022-01-05 16:00:00,Brighton,-37.9135475,144.998,7.685,PM2.5,ug/m3
2022-01-05 16:00:00,Traralgon,-38.1942825,146.53146,2.284,PM2.5,ug/m3
2022-01-05 17:00:00,Morwell East,-38.229393,146.42445,11.488,PM2.5,ug/m3
2022-01-05 17:00:00,Geelong South,-38.17356,144.3703,5.52,PM2.5,ug/m3
2022-01-05 17:00:00,Box Hill,-37.8287277,145.1324,3.985,PM2.5,ug/m3
2022-01-05 17:00:00,Melbourne CBD,-37.8073959,144.97,6.676,PM2.5,ug/m3
2022-01-05 17:00:00,Footscray,-37.803709,144.86934,9.461,PM2.5,ug/m3
2022-01-05 17:00:00,Alphington,-37.7784081,145.0306,10.607,PM2.5,ug/m3
2022-01-05 17:00:00,Newborough,-38.18772,146.2927,7.483,PM2.5,ug/m3
2022-01-05 17:00:00,Melton,-37.7064552,144.5669,7.98,PM2.5,ug/m3
2022-01-05 17:00:00,Morwell South,-38.2392921,146.3873,5.447,PM2.5,ug/m3
2022-01-05 17:00:00,Churchill,-38.3043137,146.41493,6.829,PM2.5,ug/m3
2022-01-05 17:00:00,Brighton,-37.9135475,144.998,4.313,PM2.5,ug/m3
2022-01-05 17:00:00,Traralgon,-38.1942825,146.53146,-0.175,PM2.5,ug/m3
2022-01-05 18:00:00,Morwell East,-38.229393,146.42445,11.276,PM2.5,ug/m3
2022-01-05 18:00:00,Geelong South,-38.17356,144.3703,6.152,PM2.5,ug/m3
2022-01-05 18:00:00,Campbellfield,-37.679276,144.96572,2.497,PM2.5,ug/m3
2022-01-05 18:00:00,Box Hill,-37.8287277,145.1324,8.13,PM2.5,ug/m3
2022-01-05 18:00:00,Melbourne CBD,-37.8073959,144.97,4.41,PM2.5,ug/m3
2022-01-05 18:00:00,Footscray,-37.803709,144.86934,6.468,PM2.5,ug/m3
2022-01-05 18:00:00,Alphington,-37.7784081,145.0306,11.609,PM2.5,ug/m3
2022-01-05 18:00:00,Newborough,-38.18772,146.2927,2.6,PM2.5,ug/m3
2022-01-05 18:00:00,Melton,-37.7064552,144.5669,6.201,PM2.5,ug/m3
2022-01-05 18:00:00,Churchill,-38.3043137,146.41493,8.214,PM2.5,ug/m3
2022-01-05 18:00:00,Brighton,-37.9135475,144.998,2.346,PM2.5,ug/m3
2022-01-05 18:00:00,Traralgon,-38.1942825,146.53146,2.01,PM2.5,ug/m3
