location_name,distance_to_cbd,average_value,population_density
Alphington,10,16.03,2523
Point Cook,26,19.14,1826
Dandenong,35,16.89,1966
Footscray,7,14.92,3986
Geelong South,76,17.98,225.8
Melton,44,19.09,390
Mooroolbark,36,16.71,1912
