time,location_name,latitude,longitude,value,parameter,unit_of_measure
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,11.611,PM10,ug/m3
2023-01-01 12:00:00,Brighton,-37.9135475,144.998,8.781,PM2.5,ug/m3
2023-01-01 12:00:00,Alphington,-37.7784081,145.0306,0.48,SO2,ppb
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,20.202,PM10,ug/m3
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,33.816,O3,ppb
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,2.307,NO2,ppb
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,2.352,NO2,ppb
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,4.108,NO2,ppb
2023-01-01 12:00:00,Alphington,-37.7784081,145.0306,20.558,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,-2.022,SO2,ppb
2023-01-01 12:00:00,Point Cook,-37.9263153,144.7567,41.059,O3,ppb
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,34.676,O3,ppb
2023-01-01 18:00:00,Mooroolbark,-37.7749672,145.3285,16.701,PM10,ug/m3
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,36.368,DBT,deg.C
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,14.959,BSP,1/Mm
2023-01-01 18:00:00,Point Cook,-37.9263153,144.7567,16.798,BSP,1/Mm
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,16.829,BSP,1/Mm
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,36.214,DBT,deg.C
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,35.204,DBT,deg.C
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,44.241,O3,ppb
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,3.223,NO2,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,15.506,PM10,ug/m3
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,34.95,DBT,deg.C
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,10.495,PM2.5,ug/m3
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,35.96,DBT,deg.C
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,15.4,BSP,1/Mm
2023-01-01 18:00:00,Mooroolbark,-37.7749672,145.3285,23.137,BSP,1/Mm
2023-01-01 18:00:00,Point Cook,-37.9263153,144.7567,32.416,DBT,deg.C
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,17.45,PM10,ug/m3
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,5.143,PM2.5,ug/m3
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,2.941,NO2,ppb
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,46.011,O3,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,0.055,SO2,ppb
