location_name,distance_to_cbd,average_value,population_density
Alphington,10,5.43,2523
Box Hill,20,4.73,4535
Dandenong,35,6.41,1966
Footscray,7,5.39,3986
Geelong South,76,6.87,225.8
Brighton,12.8,4.61,2836
Melbourne CBD,0,7.64,8450
Melton,44,4.3,390
