location_name,distance_to_cbd,average_value,population_density
Alphington,10,15.77,2523
Altona North,15.9,16.11,1616
Brooklyn,12.8,15.06,381
Dandenong,11.4,15.62,1966
Footscray,7,16.18,3986
Geelong South,76,15.1,225.8
Melton,44,14.01,390
Mooroolbark,36,14.49,1912
Point Cook,26,15.44,1826
